Country,Continent,Population_growth,Fertility_rate,Mortality_rate_adult_female_per_1000,Mortality_rate_adult_male_per_1000,Adolescent_fertility_rate(births_per_1000_women_ages_15_19),Agricultural_land_(sq_km),Aid_per_capita,Air_transport_passengers_carried,Arable_land,Average_times_firms_spent_in_meetings_with_tax_officials,Average_time_to_clear_exports_through_customs,Birth_rate_crude_per_1000,Death_rate_crude_per_1000,Electric_power_consumption,Forest_area,GDP (constant 2000 US$),Health expenditure per capita (current US$),Hospital beds (per 1000 people),Immunization DPT (% of children ages 12-23 months),Inflation consumer prices (annual %),Internet users (per 100 people),Land area (sq. km),Life expectancy at birth female (years),Life expectancy at birth male (years),Life expectancy at birth total (years),Literacy rate adult total (% of people ages 15 and above),Low-birthweight babies (% of births),Military expenditure (% of GDP),Mortality rate infant (per 1000 live births),Personal computers (per 100 people),Physicians (per 1000 people),Population total,Population female (% of total),Prevalence of HIV total (% of population ages 15-49),Prevalence of overweight (% of children under 5),Ratio of female to male primary enrollment,Ratio of female to male secondary enrollment,Roads total network (km),Smoking prevalence females (% of adults),Smoking prevalence males (% of adults),Surface area (sq. km),Tax revenue (% of GDP)
Iceland,Europe,2,2,49,69,16,22810,NA,1528929,7000,NA,NA,14,6,8305000000,460,1.07E+10,5154,NA,95,4,62,100250,83,79,81,NA,NA,0,2,48,NA,296750,49,0,NA,97,102,13029,NA,NA,103000,28
India,Asia,1,3,171,262,65,1801800,2,27879461,159650000,NA,NA,24,8,5.26E+11,677010,6.44E+11,36,NA,55,4,5,2973190,66,63,64,NA,NA,3,59,2,NA,1094583000,48,1,NA,98,82,NA,NA,NA,3287260,10
Indonesia,Asia,1,2,128,177,43,478000,11,26835524,23000000,NA,NA,20,7,1.12E+11,884950,2.08E+11,26,NA,70,10,7,1811570,70,66,68,NA,NA,1,28,1,NA,220558000,50,0,NA,97,99,NA,NA,NA,1904570,NA
Iran,Middle East & North Africa,1,2,107,158,22,476310,2,12708354,16533000,NA,NA,18,5,1.46E+11,110750,1.33E+11,212,2,95,13,11,1628550,72,69,70,82,NA,5,31,13,1,69087070,49,0,NA,122,94,NA,NA,NA,1745150,8
Iraq,Middle East & North Africa,NA,NA,NA,NA,NA,100100,NA,NA,5750000,NA,NA,NA,NA,3.33E+10,8220,NA,59,1,60,NA,NA,437370,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,83,66,NA,NA,NA,438320,NA
Ireland,Europe,2,2,53,92,17,42270,NA,42872544,1215000,NA,NA,15,6,2.59E+10,6690,1.24E+11,3993,NA,90,2,34,68890,82,77,79,NA,NA,1,4,53,NA,4159100,50,0,NA,100,109,NA,NA,NA,70270,25
IsleofMan,Europe,1,NA,NA,NA,NA,265,NA,NA,7500,NA,NA,12,10,NA,30,2066399872,NA,NA,NA,NA,NA,570,NA,NA,NA,NA,NA,NA,NA,NA,NA,76073,NA,NA,NA,NA,NA,NA,NA,NA,570,NA
Israel,Middle East & North Africa,2,3,40,84,15,5170,NA,4392448,317000,NA,NA,21,6,4.68E+10,1710,1.33E+11,1533,6,95,1,24,21640,82,78,80,NA,NA,10,4,122,NA,6923600,50,0,NA,101,99,17589,NA,NA,22070,28
Italy,Europe,1,1,NA,NA,7,146940,NA,36115764,7744000,NA,NA,10,10,3.32E+11,99790,1.14E+12,2692,NA,96,2,48,294110,83,78,80,NA,NA,2,4,37,NA,58607050,51,0,NA,99,99,NA,NA,NA,301340,21
Jamaica,Latin America & Caribbean,0,2,141,223,82,5130,15,1573785,174000,2,4,17,6,6568000000,3390,8735988736,170,2,88,15,46,10830,73,69,71,NA,12,1,26,7,NA,2654500,50,2,NA,100,103,21532,NA,NA,10990,27
Japan,Asia,0,1,45,93,3,46920,NA,102279015,4360000,NA,NA,8,9,1.05E+12,248680,4.98E+12,2936,NA,99,0,67,364500,86,79,82,NA,NA,1,3,68,NA,127773000,50,0,NA,100,100,NA,NA,NA,377910,NA
Jordan,Middle East & North Africa,2,3,120,171,26,10120,123,1737165,184000,NA,NA,28,3,9067000000,830,1.14E+10,241,2,95,3,13,88240,74,71,72,91,NA,5,22,7,2,5411500,48,0,NA,100,102,7601,NA,NA,88780,24
Kazakhstan,Asia,1,2,151,377,30,2075980,15,1160286,22364000,4,7,18,10,4.86E+10,33370,3.00E+10,148,8,98,8,4,2699700,72,60,66,NA,NA,1,27,NA,4,15147050,52,0,NA,100,98,90800,NA,NA,2724900,21
